dpt,annais,births,categorized_births,Traditionnel_pct,Moderne_pct,Inventé_pct,Européen_pct,Musulman_pct,Africain_pct,Asiatique_pct
01,1900,3173,3169,98.71,0.09,0.32,0.88,0.0,0.0,0.0
01,1901,3583,3573,99.13,0.0,0.28,0.59,0.08,0.0,0.0
01,1902,3489,3483,99.08,0.0,0.09,0.83,0.0,0.0,0.0
01,1903,3541,3530,99.18,0.0,0.0,0.82,0.0,0.0,0.0
01,1904,3725,3717,99.14,0.0,0.08,0.78,0.0,0.0,0.0
01,1905,3704,3694,99.16,0.08,0.08,0.68,0.0,0.0,0.0
01,1906,3797,3789,99.0,0.08,0.0,0.92,0.0,0.0,0.0
01,1907,3658,3651,98.47,0.08,0.22,1.23,0.0,0.0,0.0
01,1908,3949,3942,99.09,0.08,0.08,0.76,0.0,0.0,0.0
01,1909,4011,4003,98.9,0.15,0.07,0.87,0.07,0.0,0.0
01,1910,4067,4060,98.92,0.2,0.0,0.89,0.0,0.0,0.0
01,1911,3867,3854,98.96,0.13,0.0,0.91,0.0,0.0,0.0
01,1912,4233,4225,99.05,0.0,0.0,0.95,0.0,0.0,0.0
01,1913,4243,4237,98.73,0.09,0.07,1.11,0.0,0.0,0.0
01,1914,4095,4083,99.22,0.0,0.0,0.78,0.0,0.0,0.0
01,1915,2356,2352,98.85,0.0,0.0,1.15,0.0,0.0,0.0
01,1916,1755,1748,98.91,0.0,0.29,0.8,0.0,0.0,0.0
01,1917,2034,2025,99.36,0.0,0.0,0.64,0.0,0.0,0.0
01,1918,2510,2507,99.2,0.0,0.0,0.8,0.0,0.0,0.0
01,1919,2703,2700,99.22,0.0,0.11,0.67,0.0,0.0,0.0
01,1920,4869,4869,99.24,0.0,0.0,0.76,0.0,0.0,0.0
01,1921,4738,4728,98.88,0.0,0.06,1.06,0.0,0.0,0.0
01,1922,4628,4614,99.0,0.0,0.0,1.0,0.0,0.0,0.0
01,1923,4474,4465,99.13,0.0,0.18,0.69,0.07,0.0,0.0
01,1924,4366,4354,99.52,0.0,0.0,0.48,0.0,0.0,0.0
01,1925,4425,4403,99.09,0.0,0.09,0.82,0.09,0.0,0.0
01,1926,4621,4607,98.96,0.0,0.07,0.98,0.07,0.0,0.0
01,1927,4390,4368,99.47,0.0,0.0,0.53,0.0,0.0,0.0
01,1928,4517,4499,99.27,0.0,0.07,0.67,0.0,0.0,0.0
01,1929,4328,4312,99.47,0.0,0.0,0.53,0.0,0.0,0.0
01,1930,4530,4511,99.38,0.0,0.07,0.55,0.07,0.0,0.0
01,1931,4340,4323,99.61,0.0,0.0,0.39,0.0,0.0,0.0
01,1932,4377,4359,99.79,0.0,0.0,0.21,0.0,0.0,0.0
01,1933,4115,4096,99.51,0.0,0.0,0.49,0.0,0.0,0.0
01,1934,3908,3899,99.77,0.0,0.08,0.15,0.0,0.0,0.0
01,1935,3814,3801,99.55,0.0,0.0,0.45,0.0,0.0,0.0
01,1936,3757,3744,99.71,0.0,0.08,0.21,0.0,0.0,0.0
01,1937,3597,3592,99.61,0.0,0.0,0.39,0.0,0.0,0.0
01,1938,3556,3545,99.69,0.0,0.0,0.31,0.0,0.0,0.0
01,1939,3664,3648,99.73,0.0,0.11,0.16,0.0,0.0,0.0
01,1940,3504,3495,99.71,0.0,0.11,0.17,0.0,0.0,0.0
01,1941,3819,3810,99.82,0.0,0.08,0.1,0.0,0.0,0.0
01,1942,4136,4127,99.73,0.0,0.1,0.17,0.0,0.0,0.0
01,1943,4462,4453,99.46,0.0,0.16,0.38,0.0,0.0,0.0
